Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:33:10.932.439.200 085.920us",="Tx",="EA 60 00 00 00 0B 00 00 ",=".`......",="",="",=""
="23:33:10.932.525.080 085.880us (Feb-03-2024)",="Tx",="00 00 27 8D 81 27 B2 E0 ",="..''..''..",="",="",=""
="23:33:10.932.610.980 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:33:10.932.697.000 086.020us",="Tx",="00 00 00 17 16 84 BD ",=".......",="",="",=""
="23:33:41.373.659.500 005.894ms",="Tx",="11 00 2A 18 00 18 11 FF ",="..* .....",="",="",=""
="23:33:41.373.745.420 085.920us",="Tx",="00 00 00 18 01 FF 00 00 ",="........",="",="",=""
="23:33:41.373.831.320 085.900us",="Tx",="EA 60 00 00 00 0C 00 00 ",=".`......",="",="",=""
="23:33:41.373.917.180 085.860us",="Tx",="00 00 27 8D 88 27 B2 97 ",="..''..''..",="",="",=""
="23:33:41.374.003.140 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:33:41.374.089.160 086.020us",="Tx",="00 00 00 17 16 59 2F ",=".....Y/",="",="",=""
="23:34:11.812.202.100 004.564ms",="Tx",="11 00 2A 19 00 19 11 FF ",="..* .....",="",="",=""
="23:34:11.812.288.060 085.960us",="Tx",="00 00 00 19 01 FF 00 00 ",="........",="",="",=""
="23:34:11.812.373.960 085.900us",="Tx",="EA 60 00 00 00 0C 00 00 ",=".`......",="",="",=""
="23:34:11.812.459.800 085.840us",="Tx",="00 00 27 8D 88 27 B2 97 ",="..''..''..",="",="",=""
="23:34:11.812.545.660 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:34:11.812.631.640 085.980us",="Tx",="00 00 00 17 16 ED 7D ",="......}",="",="",=""
="23:34:42.250.265.740 004.867ms",="Tx",="11 00 2A 1A 00 1A 11 FF ",="..* .....",="",="",=""
="23:34:42.250.351.740 086.000us",="Tx",="00 00 00 1A 01 FF 00 00 ",="........",="",="",=""
="23:34:42.250.437.680 085.940us (Feb-03-2024)",="Tx",="EA 60 00 00 00 0D 00 00 ",=".`......",="",="",=""
="23:34:42.250.523.560 085.880us",="Tx",="00 00 27 8D 73 27 B2 B7 ",="..''.s''..",="",="",=""
="23:34:42.250.609.480 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:34:42.250.695.540 086.060us",="Tx",="00 00 00 17 16 97 5F ",="......_",="",="",=""
="23:35:12.690.042.340 004.026ms",="Tx",="11 00 2A 1B 00 1B 11 FF ",="..* .....",="",="",=""
="23:35:12.690.128.240 085.900us",="Tx",="00 00 00 1B 01 FF 00 00 ",="........",="",="",=""
="23:35:12.690.214.140 085.900us",="Tx",="EA 60 00 00 00 0D 00 00 ",=".`......",="",="",=""
="23:35:12.690.299.980 085.840us",="Tx",="00 00 27 8D 73 27 B2 B7 ",="..''.s''..",="",="",=""
="23:35:12.690.385.860 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:35:12.690.471.880 086.020us",="Tx",="00 00 00 17 16 23 0D ",=".....#.",="",="",=""
="23:35:43.129.499.880 004.057ms",="Tx",="11 00 2A 1C 00 1C 11 FF ",="..* .....",="",="",=""
="23:35:43.129.585.840 085.960us",="Tx",="00 00 00 1C 01 FF 00 00 ",="........",="",="",=""
="23:35:43.129.671.760 085.920us",="Tx",="EA 60 00 00 00 0E 00 00 ",=".`......",="",="",=""
="23:35:43.129.757.600 085.840us",="Tx",="00 00 27 8D 8B 27 B2 8D ",="..''..''..",="",="",=""
="23:35:43.129.843.460 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
