Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:58:03.669.930.020 085.940us",="Tx",="64 31 27 8C 81 27 B1 7C ",="d1''..''.|",="",="",=""
="23:58:03.670.015.980 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:58:03.670.102.100 086.120us",="Tx",="00 00 3C 18 17 93 3E ",="..<...>",="",="",=""
="23:58:33.111.286.300 029.441s",="Tx",="11 00 2A B0 00 B0 10 AA ",="..* .....",="",="",=""
="23:58:33.111.372.340 086.040us (Mar-27-2024)",="Tx",="10 16 0B E1 11 FF 00 00 ",="........",="",="",=""
="23:58:33.111.458.220 085.880us",="Tx",="EA 60 00 00 05 66 00 01 ",=".`...f..",="",="",=""
="23:58:33.111.544.120 085.900us",="Tx",="64 6C 27 8C 60 27 B1 75 ",="dl''.`''.u",="",="",=""
="23:58:33.111.630.020 085.900us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:58:33.111.716.120 086.100us",="Tx",="00 00 3C 18 17 E4 AB ",="..<....",="",="",=""
="23:59:02.558.470.160 029.446s",="Tx",="11 00 2A CE 00 CE 10 AA ",="..* .....",="",="",=""
="23:59:02.558.556.220 086.060us",="Tx",="10 16 0B E2 11 FF 00 00 ",="........",="",="",=""
="23:59:02.558.642.160 085.940us",="Tx",="EA 60 00 00 05 66 00 01 ",=".`...f..",="",="",=""
="23:59:02.558.728.080 085.920us",="Tx",="64 6C 27 8C 60 27 B1 75 ",="dl''.`''.u",="",="",=""
="23:59:02.558.814.020 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:59:02.558.900.160 086.140us",="Tx",="00 00 3C 18 17 B7 B3 ",="..<....",="",="",=""
="23:59:32.000.106.020 029.441s",="Tx",="11 00 2A EC 00 EC 10 AA ",="..* .....",="",="",=""
="23:59:32.000.192.080 086.060us",="Tx",="10 16 0B E3 11 FF 00 00 ",="........",="",="",=""
="23:59:32.000.277.980 085.900us",="Tx",="EA 60 00 00 05 67 00 01 ",=".`...g..",="",="",=""
="23:59:32.000.363.900 085.920us",="Tx",="64 A8 27 8C 29 27 B1 8B ",="d.''.)''..",="",="",=""
="23:59:32.000.449.820 085.920us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:59:32.000.535.940 086.120us",="Tx",="00 00 3C 18 17 3B 67 ",="..<..;g",="",="",=""
