Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="11:31:13.097.890.760 086.080us",="Tx",="00 F9 04 18 17 9C 92 ",=".......",="",="",=""
="11:31:43.553.969.880 030.456s",="Tx",="11 00 2A 14 00 14 10 00 ",="..* .....",="",="",=""
="11:31:43.554.055.820 085.940us",="Tx",="10 16 28 1D 3A FF 00 00 ",="..(.:...",="",="",=""
="11:31:43.554.141.740 085.920us",="Tx",="EA 60 FF BC AF 0B 00 00 ",=".`......",="",="",=""
="11:31:43.554.227.620 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:31:43.554.313.520 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:31:43.554.399.520 086.000us",="Tx",="00 FA 05 18 17 93 F6 ",=".......",="",="",=""
="11:32:14.016.580.680 030.462s",="Tx",="11 00 2A 33 00 33 10 00 ",="..* 3.3..",="",="",=""
="11:32:14.016.666.620 085.940us",="Tx",="10 16 28 1E 3A FF 00 00 ",="..(.:...",="",="",=""
="11:32:14.016.752.540 085.920us",="Tx",="EA 60 FF BC AF 0B 00 00 ",=".`......",="",="",=""
="11:32:14.016.838.440 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:32:14.016.924.340 085.900us (Feb-19-2024)",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:32:14.017.010.360 086.020us",="Tx",="00 FA 05 18 17 A0 B8 ",=".......",="",="",=""
="11:32:44.475.717.280 030.458s",="Tx",="11 00 2A 17 00 17 10 00 ",="..* .....",="",="",=""
="11:32:44.475.803.260 085.980us",="Tx",="10 16 28 1F 3B FF 00 00 ",="..(.;...",="",="",=""
="11:32:44.475.889.220 085.960us",="Tx",="EA 60 FF BC AF 0D 00 00 ",=".`......",="",="",=""
="11:32:44.475.975.160 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:32:44.476.061.100 085.940us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:32:44.476.147.160 086.060us",="Tx",="00 FB 06 18 17 D3 36 ",="......6",="",="",=""
="11:33:14.936.194.220 030.460s",="Tx",="11 00 2A 36 00 36 10 00 ",="..* 6.6..",="",="",=""
="11:33:14.936.280.200 085.980us",="Tx",="10 16 28 20 3B FF 00 00 ",="..( ;...",="",="",=""
="11:33:14.936.366.160 085.960us",="Tx",="EA 60 FF BC AF 0D 00 00 ",=".`......",="",="",=""
="11:33:14.936.452.080 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:33:14.936.538.040 085.960us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:33:14.936.624.100 086.060us",="Tx",="00 FB 06 18 17 15 BB ",=".......",="",="",=""
="11:33:45.393.800.200 030.457s",="Tx",="11 00 2A 19 00 19 10 00 ",="..* .....",="",="",=""
="11:33:45.393.886.160 085.960us",="Tx",="10 16 28 21 3C FF 00 00 ",="..(!<...",="",="",=""
="11:33:45.393.972.120 085.960us",="Tx",="EA 60 FF BC AF 0F 00 00 ",=".`......",="",="",=""
="11:33:45.394.058.000 085.880us (Feb-19-2024)",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:33:45.394.143.920 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:33:45.394.229.960 086.040us",="Tx",="00 FC 07 18 17 C4 6B ",="......k",="",="",=""
="11:34:15.850.356.700 030.456s",="Tx",="11 00 2A 38 00 38 10 00 ",="..* 8.8..",="",="",=""
="11:34:15.850.442.700 086.000us",="Tx",="10 16 28 22 3C FF 00 00 ",="..(""<...",="",="",=""
="11:34:15.850.528.660 085.960us",="Tx",="EA 60 FF BC AF 0F 00 00 ",=".`......",="",="",=""
="11:34:15.850.614.600 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:34:15.850.700.560 085.960us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:34:15.850.786.620 086.060us",="Tx",="00 FC 07 18 17 06 17 ",=".......",="",="",=""
