Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="09:12:34.805.395.000 086.400us",="Tx",="00 00 00 1A 18 FA AD ",=".......",="",="",=""
="09:12:35.835.224.320 004.137ms",="Tx",="11 00 2A 64 00 64 10 FF ",="..* d.d..",="",="",=""
="09:12:35.835.310.700 086.380us",="Tx",="00 00 00 6A 02 FF 00 00 ",="...j....",="",="",=""
="09:12:35.835.397.080 086.380us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:35.835.483.480 086.400us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:35.835.569.860 086.380us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:35.835.656.240 086.380us",="Tx",="00 00 00 1A 18 8D 15 ",=".......",="",="",=""
="09:12:36.865.330.940 004.296ms",="Tx",="11 00 2A 66 00 66 10 FF ",="..* f.f..",="",="",=""
="09:12:36.865.417.260 086.320us",="Tx",="00 00 00 6B 02 FF 00 00 ",="...k....",="",="",=""
="09:12:36.865.503.600 086.340us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:36.865.589.940 086.340us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:36.865.676.240 086.300us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:36.865.762.560 086.320us",="Tx",="00 00 00 1A 18 41 DE ",=".....A.",="",="",=""
="09:12:37.895.516.260 004.463ms",="Tx",="11 00 2A 68 00 68 10 FF ",="..* h.h..",="",="",=""
="09:12:37.895.602.600 086.340us",="Tx",="00 00 00 6C 02 FF 00 00 ",="...l....",="",="",=""
="09:12:37.895.688.960 086.360us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:37.895.775.300 086.340us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:37.895.861.660 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:37.895.948.040 086.380us",="Tx",="00 00 00 1A 18 07 ED ",=".......",="",="",=""
="09:12:38.925.859.080 004.818ms",="Tx",="11 00 2A 6A 00 6A 10 FF ",="..* j.j..",="",="",=""
="09:12:38.925.945.440 086.360us",="Tx",="00 00 00 6D 02 FF 00 00 ",="...m....",="",="",=""
="09:12:38.926.031.800 086.360us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:38.926.118.180 086.380us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:38.926.204.520 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:38.926.290.920 086.400us",="Tx",="00 00 00 1A 18 CB 26 ",="......&",="",="",=""
="09:12:39.956.214.920 005.166ms",="Tx",="11 00 2A 6C 00 6C 10 FF ",="..* l.l..",="",="",=""
="09:12:39.956.301.300 086.380us",="Tx",="00 00 00 6E 02 FF 00 00 ",="...n....",="",="",=""
="09:12:39.956.387.660 086.360us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
